Id,firstName,lastName,salary,managerId
1,Jerrine,Shaughnessy,95059.02,
2,Marline,Shorland,46426.66,1
3,Webster,Keneford,104037.27,2
4,Beitris,Finnigan,49456.51,3
5,Kalina,Corcoran,77771.79,9
6,Kendal,Whittingham,106391.96,4
7,Tove,Harwood,82892.47,8
8,Philis,Kemston,35483.19,7
9,Tierney,Hylden,36758.99,6
10,Cassie,Korb,38716.92,2
11,Huntington,Cornick,51934.73,7
12,Tawsha,Toulch,49735.75,7
13,Ivory,Kos,56186.14,9
14,Roxi,Spracklin,103945.11,10
15,Mike,Mainson,31455.6,10
16,Charmine,Skase,90267.73,3
17,Tomasine,Davidy,117452.83,3
18,Bryna,Childs,94821.43,4
19,Kerianne,Maskill,82007.69,2
20,Linnet,Eddicott,59591.72,9
21,Fred,Presnail,88749.13,3
22,Boonie,Killerby,75163.55,6
23,Maye,Maryott,102820.4,6
24,Steve,Ojeda,49507,3
25,Job,Beckingham,69051.32,10
26,Imogen,Riggeard,33928.84,4
27,Urban,Critchley,41404.51,7
28,Harmony,Acors,51486.98,8
29,Fenelia,Wessel,71855.38,7
30,Skyler,MacSkeagan,60858.17,2
31,Merrielle,Babe,30431.91,9
32,Eden,Calleja,93768.93,8
33,Demetri,Wallbank,37290.89,7
34,Buiron,Holtham,108238.67,6
35,Shanon,Moulden,31116.22,10
36,Melosa,Stede,73774.37,5
37,Durward,O'Hagirtie,34398.37,5
38,Hildegarde,Duckitt,41218.66,6
39,Alma,Lees,40760.27,3
40,Oates,Offer,89787.61,6
41,Peri,Benzies,64758.07,6
42,Alicea,Mulder,117645.3,7
43,Abrahan,Matherson,75202.19,3
44,Howie,Arend,77223.08,8
45,Friedrich,Lyte,95442.35,10
46,Whitby,Pentin,101500.61,9
47,Alla,Klein,103703.37,10
48,Patricia,O'Lahy,42310.27,8
49,Cherida,Rattenberie,31236.25,4
50,Anatol,Peaddie,100801.23,4
51,Clywd,McTerlagh,114206.13,3
52,Janeta,Attenborough,50112.2,7
53,Evelyn,Quartly,48759.93,4
54,Humfrid,Renzini,38440.2,5
55,Bordie,Kearns,64722.25,7
56,Camella,Pryde,68860.42,6
57,Mignon,Spellsworth,73277.1,8
58,Pooh,Stileman,91693.95,1
59,Camellia,Triggol,94297.26,4
60,Anette,Meggison,113374.67,5
61,Mariette,Dand,51088.06,10
62,Junie,Lighton,47538.03,5
63,Leta,Norvill,61605.49,6
64,Traver,Mordie,41088.38,7
65,Callean,Roughley,40198.29,4
66,Robby,Brockton,109825.49,10
67,Guilbert,Brigginshaw,73697.96,5
68,Hank,Haddleston,101812.16,4
69,Bennie,Divine,107727.71,8
70,Marguerite,Gentry,114055.64,4
71,Frederigo,Levett,88777.32,2
72,Ethelin,Limeburner,66996.26,6
73,Corie,Cracker,85504.69,3
74,Roi,Dumper,106581.25,5
75,Rochelle,Farra,50447.42,7
76,Celina,Pareman,61860.77,9
77,Humphrey,Osgar,39205.62,3
78,Arlette,Garaway,80222.88,3
79,Stephie,Langston,84656.07,2
80,Trenna,Lechmere,115157.44,10
81,Theodosia,Beer,63017.94,6
82,Lynda,Naismith,104545.21,6
83,Coleman,Beddin,82061.92,2
84,Gracie,Keyden,32355.06,9
85,Gilles,Lusher,76760.3,3
86,Gillian,Teideman,90986.03,4
87,Pippo,McLeoid,57025.41,9
88,Lenci,Rhubottom,75286.72,6
89,Coleman,Simonetti,92145.95,8
90,Mora,Arstingall,73048.77,10
91,Clem,Premble,85856.86,7
92,Jodie,Lethbridge,93480.39,3
93,Ofilia,Ayto,48659.37,3
94,Brigid,Gremain,61524.13,2
95,Lissie,Emett,77326.44,10
96,Brigit,Swansbury,106601.06,8
97,Wolfie,Jorissen,96909.48,2
98,Alexandr,Barfoot,95334.05,6
99,Marcia,Briscoe,71696.04,3
100,Gerald,Manklow,77604.74,6
